# xi,yi,xr,yr
23,18,76.2,76.2
27,15,76.2,45.72
33,13,76.2,15.240000000000002
40,13,76.2,-15.239999999999995
46,15,76.2,-45.72
50,18,76.2,-76.2
21,22,45.72,76.2
24,19,45.72,45.72
31,15,45.72,15.240000000000002
42,15,45.72,-15.239999999999995
50,19,45.72,-45.72
53,21,45.72,-76.2
19,28,15.240000000000002,76.2
20,26,15.240000000000002,45.72
28,22,15.240000000000002,15.240000000000002
46,21,15.240000000000002,-15.239999999999995
53,26,15.240000000000002,-45.72
55,27,15.240000000000002,-76.2
18,35,-15.239999999999995,76.2
20,37,-15.239999999999995,45.72
27,41,-15.239999999999995,15.240000000000002
47,41,-15.239999999999995,-15.239999999999995
54,37,-15.239999999999995,-45.72
56,35,-15.239999999999995,-76.2
21,42,-45.72,76.2
24,45,-45.72,45.72
32,48,-45.72,15.240000000000002
43,48,-45.72,-15.239999999999995
50,44,-45.72,-45.72
54,41,-45.72,-76.2
23,46,-76.2,76.2
27,48,-76.2,45.72
34,50,-76.2,15.240000000000002
41,50,-76.2,-15.239999999999995
47,48,-76.2,-45.72
51,45,-76.2,-76.2
